,HSTAge,HSTOverall,HSTCrossing,HSTFinishing,HSTHeadingAccuracy,HSTVolleys,HSTLongPassing,HSTShotPower,HSTJumping,HSTStamina,HSTStrength,HSTAggression,HSTInterceptions,HSTPenalties,HSTMarking,HMFAge,HMFOverall,HMFCrossing,HMFFinishing,HMFHeadingAccuracy,HMFFKAccuracy,HMFAcceleration,HMFJumping,HMFStamina,HMFStrength,HMFAggression,HMFInterceptions,HMFPenalties,HDFAge,HDFCrossing,HDFFinishing,HDFHeadingAccuracy,HDFFKAccuracy,HDFAcceleration,HDFJumping,HDFStrength,HGKAge,HGKHandling,HGKKicking,ASTMarking,AMFJumping,AGKHandling,home_passes,home_red_cards,home_shots,home_tackles,away_offsides,away_red_cards,away_shots_on_target,goal_away_ft
140,27.67,75.33,51.33,79.0,68.33,68.0,49.0,78.67,67.33,63.0,66.0,57.33,27.0,74.67,26.0,24.0,77.0,69.75,63.5,47.0,68.5,78.5,64.0,78.0,59.0,65.75,63.5,60.0,26.6,66.0,42.4,71.8,58.4,69.6,71.6,72.0,31.0,80.0,72.0,41.33,72.75,80.0,527.5,0.0,14.5,12.5,3.0,0.0,3.5,1.5
141,25.67,74.67,57.33,71.67,70.0,67.33,63.33,78.0,66.67,65.67,68.33,74.0,38.0,64.33,36.67,23.25,73.75,62.0,62.0,67.25,49.0,70.5,63.25,69.0,68.5,59.75,49.0,55.75,25.8,62.8,36.6,70.0,36.0,70.6,76.6,73.2,29.0,77.0,67.0,46.0,55.0,77.0,486.0,0.0,15.0,16.0,1.0,0.0,1.0,1.0
142,25.67,76.33,55.33,76.33,74.33,75.33,50.0,74.33,72.67,74.67,67.0,64.0,35.67,66.67,41.33,26.25,76.75,75.75,68.25,60.5,67.5,69.25,67.5,73.25,66.75,66.75,55.5,71.5,26.4,45.6,36.4,75.0,32.2,58.8,78.8,77.4,29.0,80.0,81.0,28.67,65.75,81.0,423.5,0.0,8.5,21.5,1.0,0.0,1.5,0.0
143,27.33,76.33,57.0,77.33,81.67,70.33,57.0,80.33,82.33,73.33,82.0,80.33,41.0,79.0,41.33,29.25,78.25,75.5,65.0,57.25,66.75,71.5,72.75,80.75,67.25,71.0,67.75,65.75,28.0,71.2,49.0,72.8,53.6,66.6,79.4,74.4,26.0,80.0,74.0,36.67,63.25,77.0,456.0,0.0,4.0,15.0,3.0,0.0,2.0,0.0
144,28.0,77.33,59.67,77.33,67.33,77.0,57.33,78.67,76.33,76.33,67.33,77.0,39.33,76.0,46.0,25.0,77.0,76.5,67.75,41.0,71.25,76.5,55.0,71.75,54.75,62.25,51.5,69.25,24.2,60.8,53.2,74.0,56.6,64.0,75.8,75.2,31.0,77.0,82.0,32.67,62.5,78.0,352.33,0.0,15.67,16.67,1.67,0.0,3.33,1.0
145,25.33,85.33,77.0,83.67,76.0,78.67,69.33,85.33,77.33,80.67,80.33,70.67,38.33,78.67,35.33,27.0,82.0,74.5,75.25,58.25,71.5,76.25,69.25,83.0,54.5,70.5,64.5,72.5,25.6,67.2,54.2,75.6,54.4,67.0,76.8,84.2,27.0,85.0,87.0,41.33,67.5,80.0,628.5,0.0,18.0,16.0,1.5,0.0,2.5,0.5
146,26.33,76.67,62.0,71.33,60.67,67.67,48.33,77.67,72.0,69.0,74.0,61.0,26.33,72.33,30.0,25.0,76.5,73.5,68.5,57.5,62.0,69.5,64.25,72.5,63.0,63.0,55.0,69.5,27.4,73.2,60.0,66.8,52.4,68.8,70.6,72.8,37.0,72.0,60.0,26.0,64.0,80.0,362.0,0.0,15.67,16.67,3.0,0.0,3.67,1.33
147,27.67,75.33,51.33,79.0,68.33,68.0,49.0,78.67,67.33,63.0,66.0,57.33,27.0,74.67,26.0,24.0,77.0,69.75,63.5,47.0,68.5,78.5,64.0,78.0,59.0,65.75,63.5,60.0,26.6,66.0,42.4,71.8,58.4,69.6,71.6,72.0,31.0,80.0,72.0,15.67,69.25,81.0,463.33,0.0,12.0,17.0,2.67,0.0,5.33,3.0
148,23.67,75.33,64.33,74.67,62.33,70.67,57.33,76.67,67.67,71.33,64.0,61.33,32.67,72.67,37.67,27.25,84.75,77.75,71.25,60.25,72.75,82.5,62.0,78.25,65.25,61.25,55.75,65.75,27.2,59.8,47.0,73.6,51.6,65.4,68.4,74.4,26.0,82.0,75.0,36.67,63.25,77.0,813.0,0.0,21.0,19.0,3.0,0.0,2.0,0.0
149,27.33,76.33,57.0,77.33,81.67,70.33,57.0,80.33,82.33,73.33,82.0,80.33,41.0,79.0,41.33,29.25,78.25,75.5,65.0,57.25,66.75,71.5,72.75,80.75,67.25,71.0,67.75,65.75,28.0,71.2,49.0,72.8,53.6,66.6,79.4,74.4,26.0,80.0,74.0,39.67,73.0,74.0,339.0,0.0,10.0,9.0,3.0,0.0,2.0,0.0
